Identifier	Chromosome	Prediction 	Probability 	gpi-Prediction	Anchor Position
FgramCML3066_01t13207	Chromosome_2	Non-effector	0.952	0.741	E-253
FgramCML3066_01t13211	Chromosome_2	Non-effector	1	0.756	N-521
FgramCML3066_01t13263	Chromosome_2	Non-effector	1	0.109	N-648
FgramCML3066_01t13265	Chromosome_2	Non-effector	1	0.026	S-830
FgramCML3066_01t13273	Chromosome_2	Non-effector	0.863	0	D-185
FgramCML3066_01t13275	Chromosome_2	Non-effector	1	0.001	N-214
FgramCML3066_01t13277	Chromosome_2	Non-effector	1	0.824	P-518
FgramCML3066_01t13297	Chromosome_2	Non-effector	1	0.522	N-513
FgramCML3066_01t13299	Chromosome_2	Effector	0.999	0.493	N-154
FgramCML3066_01t13301	Chromosome_2	Effector	1	0.942	G-219
FgramCML3066_01t13329	Chromosome_2	Non-effector	1	0.909	G-366
FgramCML3066_01t13331	Chromosome_2	Effector	0.97	0.018	N-74
FgramCML3066_01t13335	Chromosome_2	Effector	0.931	0.698	K-162
FgramCML3066_01t13337	Chromosome_2	Non-effector	1	0.493	T-517
FgramCML3066_01t13359	Chromosome_2	Effector	1	0.428	L-74
FgramCML3066_01t13361	Chromosome_2	Effector	0.846	0.84	C-69
FgramCML3066_01t13365	Chromosome_2	Non-effector	1	0.72	R-509
FgramCML3066_01t13371	Chromosome_2	Non-effector	0.974	0.428	D-264
FgramCML3066_01t13375	Chromosome_2	Non-effector	1	0.182	S-468
FgramCML3066_01t13379	Chromosome_2	Non-effector	1	0.043	L-1227
FgramCML3066_01t13385	Chromosome_2	Non-effector	1	0.036	S-188
FgramCML3066_01t13397	Chromosome_2	Effector	0.776	0.948	A-197
FgramCML3066_01t13407	Chromosome_2	Non-effector	1	0.522	D-429
FgramCML3066_01t13409	Chromosome_2	Non-effector	1	0.548	I-819
FgramCML3066_01t13415	Chromosome_2	Non-effector	0.978	0.96	Q-311
FgramCML3066_01t13433	Chromosome_2	Effector	0.937	0.72	G-155
FgramCML3066_01t13487	Chromosome_2	Effector	0.915	0.807	S-172
FgramCML3066_01t13515	Chromosome_2	Non-effector	1	0.627	I-404
FgramCML3066_01t13517	Chromosome_2	Effector	0.623	0.698	E-214
FgramCML3066_01t13543	Chromosome_2	Non-effector	1	0.855	Y-586
FgramCML3066_01t13561	Chromosome_2	Non-effector	0.515	0.899	Y-215
FgramCML3066_01t13593	Chromosome_2	Non-effector	1	0.109	N-431
FgramCML3066_01t13605	Chromosome_2	Non-effector	1	0.652	N-335
FgramCML3066_01t13631	Chromosome_2	Non-effector	1	0.522	L-498
FgramCML3066_01t13667	Chromosome_2	Non-effector	1	0.789	S-582
FgramCML3066_01t13673	Chromosome_2	Non-effector	1	0.428	K-783
FgramCML3066_01t13685	Chromosome_2	Non-effector	0.56	0.741	S-230
FgramCML3066_01t13697	Chromosome_2	Non-effector	1	0.89	I-730
FgramCML3066_01t13723	Chromosome_2	Non-effector	1	0.001	A-407
FgramCML3066_01t13739	Chromosome_2	Non-effector	1	0.493	H-469
FgramCML3066_01t13771	Chromosome_2	Non-effector	0.989	0.698	D-209
FgramCML3066_01t13797	Chromosome_2	Non-effector	1	0.575	S-362
FgramCML3066_01t13809	Chromosome_2	Non-effector	1	0.021	K-330
FgramCML3066_01t13837	Chromosome_2	Non-effector	0.996	0.001	S-183
FgramCML3066_01t13841	Chromosome_2	Non-effector	1	0.109	N-474
FgramCML3066_01t13859	Chromosome_2	Effector	0.986	0.252	D-99
FgramCML3066_01t13861	Chromosome_2	Effector	0.999	0.394	D-95
FgramCML3066_01t13903	Chromosome_2	Non-effector	1	0.652	S-321
FgramCML3066_01t13909	Chromosome_2	Non-effector	1	0.978	S-438
FgramCML3066_01t13919	Chromosome_2	Non-effector	1	0.548	R-426
FgramCML3066_01t13931	Chromosome_2	Non-effector	1	0.015	D-757
FgramCML3066_01t13955	Chromosome_2	Non-effector	1	0.789	Y-735
FgramCML3066_01t13973	Chromosome_2	Non-effector	1	0.091	D-406
FgramCML3066_01t13979	Chromosome_2	Non-effector	0.999	0.855	S-313
FgramCML3066_01t14003	Chromosome_2	Non-effector	1	0	N-629
FgramCML3066_01t14023	Chromosome_2	Non-effector	1	0.394	Y-1050
FgramCML3066_01t14025	Chromosome_2	Non-effector	1	0.001	V-443
FgramCML3066_01t14051	Chromosome_2	Non-effector	1	0.789	N-478
FgramCML3066_01t14053	Chromosome_2	Non-effector	0.839	0.522	S-134
FgramCML3066_01t14057	Chromosome_2	Non-effector	0.999	0.575	S-282
FgramCML3066_01t14067	Chromosome_2	Non-effector	0.998	0.604	D-276
FgramCML3066_01t14073	Chromosome_2	Non-effector	1	0.109	T-988
FgramCML3066_01t14075	Chromosome_2	Non-effector	1	0.288	H-342
FgramCML3066_01t14081	Chromosome_2	Non-effector	0.983	0.741	V-304
FgramCML3066_01t14087	Chromosome_2	Effector	0.947	0.604	V-163
FgramCML3066_01t14095	Chromosome_2	Non-effector	0.734	0.899	M-219
FgramCML3066_01t14101	Chromosome_2	Non-effector	1	0.999	T-446
FgramCML3066_01t14113	Chromosome_2	Non-effector	1	0.001	N-616
FgramCML3066_01t14115	Chromosome_2	Non-effector	1	0.879	D-522
FgramCML3066_01t14165	Chromosome_2	Non-effector	1	0.575	K-412
FgramCML3066_01t14191	Chromosome_2	Non-effector	0.996	0.698	S-276
FgramCML3066_01t14201	Chromosome_2	Non-effector	1	0.72	E-380
FgramCML3066_01t14205	Chromosome_2	Non-effector	0.999	0.129	C-145
FgramCML3066_01t14221	Chromosome_2	Non-effector	1	0.288	I-540
FgramCML3066_01t14225	Chromosome_2	Non-effector	1	0.014	H-477
FgramCML3066_01t14231	Chromosome_2	Non-effector	0.926	0	A-246
FgramCML3066_01t14233	Chromosome_2	Non-effector	1	0.428	C-564
FgramCML3066_01t14235	Chromosome_2	Non-effector	1	0.009	D-375
FgramCML3066_01t14239	Chromosome_2	Non-effector	1	0	N-793
FgramCML3066_01t14263	Chromosome_2	Non-effector	1	0.36	K-487
FgramCML3066_01t14333	Chromosome_2	Non-effector	0.997	0.773	N-263
FgramCML3066_01t14345	Chromosome_2	Non-effector	1	0	S-191
FgramCML3066_01t14349	Chromosome_2	Non-effector	1	0.36	T-562
FgramCML3066_01t14363	Chromosome_2	Non-effector	0.95	0.288	N-266
FgramCML3066_01t14421	Chromosome_2	Non-effector	1	0.756	K-491
FgramCML3066_01t14439	Chromosome_2	Effector	0.573	0.855	S-183
FgramCML3066_01t14477	Chromosome_2	Effector	0.976	0.972	V-170
FgramCML3066_01t14487	Chromosome_2	Non-effector	0.98	0	N-258
FgramCML3066_01t14525	Chromosome_2	Non-effector	1	0.463	F-394
FgramCML3066_01t14541	Chromosome_2	Non-effector	0.876	0.074	W-260
FgramCML3066_01t14543	Chromosome_2	Non-effector	1	0.05	E-448
FgramCML3066_01t14625	Chromosome_2	Effector	0.72	0.216	N-86
FgramCML3066_01t14657	Chromosome_2	Non-effector	1	0.675	C-454
FgramCML3066_01t14805	Chromosome_2	Effector	0.897	0.008	S-143
FgramCML3066_01t14847	Chromosome_2	Non-effector	1	0.001	S-264
FgramCML3066_01t14867	Chromosome_2	Effector	0.999	0.394	M-219
FgramCML3066_01t14903	Chromosome_2	Non-effector	1	0.627	A-512
FgramCML3066_01t15121	Chromosome_2	Non-effector	1	0.428	L-428
FgramCML3066_01t15191	Chromosome_2	Non-effector	1	0.604	D-542
FgramCML3066_01t15203	Chromosome_2	Non-effector	1	0.986	C-333
FgramCML3066_01t15329	Chromosome_2	Non-effector	1	0.182	T-970
FgramCML3066_01t15331	Chromosome_2	Non-effector	1	0.074	D-385
FgramCML3066_01t15339	Chromosome_2	Non-effector	1	0.652	D-506
FgramCML3066_01t15353	Chromosome_2	Non-effector	1	0.773	S-2494
FgramCML3066_01t15379	Chromosome_2	Non-effector	1	0.288	L-482
FgramCML3066_01t15381	Chromosome_2	Effector	0.823	0.109	P-95
FgramCML3066_01t15431	Chromosome_2	Non-effector	1	0.604	D-566
FgramCML3066_01t15443	Chromosome_2	Effector	0.971	0.675	S-197
FgramCML3066_01t15517	Chromosome_2	Non-effector	1	0.394	S-854
FgramCML3066_01t15521	Chromosome_2	Non-effector	1	0.867	I-425
FgramCML3066_01t15525	Chromosome_2	Non-effector	1	0.698	S-476
FgramCML3066_01t15531	Chromosome_2	Non-effector	1	0.026	G-444
FgramCML3066_01t15543	Chromosome_2	Non-effector	1	0.004	P-245
FgramCML3066_01t15567	Chromosome_2	Non-effector	0.998	0.009	M-306
FgramCML3066_01t15597	Chromosome_2	Effector	0.997	0.001	N-111
FgramCML3066_01t15603	Chromosome_2	Non-effector	1	0.154	I-374
FgramCML3066_01t15617	Chromosome_2	Non-effector	1	0.394	V-511
FgramCML3066_01t15653	Chromosome_2	Non-effector	1	0.182	S-294
FgramCML3066_01t15695	Chromosome_2	Effector	0.964	0.394	Q-128
FgramCML3066_01t15723	Chromosome_2	Non-effector	1	0.252	N-245
FgramCML3066_01t15737	Chromosome_2	Effector	0.997	0.927	S-46
FgramCML3066_01t15743	Chromosome_2	Non-effector	0.983	0.899	F-280
FgramCML3066_01t15789	Chromosome_2	Non-effector	1	0.867	N-297
FgramCML3066_01t15791	Chromosome_2	Effector	1	0.428	D-72
FgramCML3066_01t15801	Chromosome_2	Effector	0.963	0.756	W-199
FgramCML3066_01t15847	Chromosome_2	Effector	0.98	0.919	D-201
FgramCML3066_01t15851	Chromosome_2	Non-effector	0.849	0.216	T-280
FgramCML3066_01t15861	Chromosome_2	Non-effector	1	0.36	W-502
FgramCML3066_01t15863	Chromosome_2	Effector	1	0.855	K-48
FgramCML3066_01t15867	Chromosome_2	Non-effector	1	0.604	V-112
FgramCML3066_01t15877	Chromosome_2	Non-effector	1	0.899	E-560
FgramCML3066_01t15889	Chromosome_2	Effector	0.943	0.954	T-141
FgramCML3066_01t15897	Chromosome_2	Non-effector	1	0.927	N-437
FgramCML3066_01t15945	Chromosome_2	Non-effector	1	0.252	D-342
FgramCML3066_01t15953	Chromosome_2	Effector	0.771	0.899	V-186
FgramCML3066_01t15955	Chromosome_2	Non-effector	0.928	0.789	N-237
FgramCML3066_01t15961	Chromosome_2	Non-effector	1	0.855	S-375
FgramCML3066_01t15963	Chromosome_2	Non-effector	1	0.879	G-365
FgramCML3066_01t15973	Chromosome_2	Non-effector	1	0.789	S-426
FgramCML3066_01t15977	Chromosome_2	Non-effector	1	0.627	Y-1348
FgramCML3066_01t15985	Chromosome_2	Effector	0.971	0.627	Y-97
FgramCML3066_01t16043	Chromosome_2	Non-effector	1	0.84	T-776
FgramCML3066_01t16067	Chromosome_2	Effector	0.999	0.428	S-75
FgramCML3066_01t16069	Chromosome_2	Non-effector	0.818	0.675	D-211
FgramCML3066_01t16107	Chromosome_2	Non-effector	1	0.288	V-725
FgramCML3066_01t16115	Chromosome_2	Non-effector	1	0.937	S-359
FgramCML3066_01t16133	Chromosome_2	Effector	0.515	0.36	D-74
FgramCML3066_01t16147	Chromosome_2	Non-effector	0.933	0.522	S-266
FgramCML3066_01t16149	Chromosome_2	Non-effector	1	0.652	N-775
FgramCML3066_01t16155	Chromosome_2	Non-effector	0.895	0.604	T-210
FgramCML3066_01t16175	Chromosome_2	Non-effector	1	0.756	W-365
FgramCML3066_01t16183	Chromosome_2	Effector	0.526	0.604	W-138
FgramCML3066_01t16207	Chromosome_3	Non-effector	1	0.548	L-1242
FgramCML3066_01t16209	Chromosome_3	Non-effector	1	0.463	C-1333
FgramCML3066_01t16261	Chromosome_3	Effector	0.515	0.968	S-225
FgramCML3066_01t16289	Chromosome_3	Non-effector	1	0.394	V-266
FgramCML3066_01t16337	Chromosome_3	Non-effector	1	0.463	K-477
FgramCML3066_01t16343	Chromosome_3	Effector	0.996	0.675	S-132
FgramCML3066_01t16349	Chromosome_3	Non-effector	1	0.001	S-381
FgramCML3066_01t16351	Chromosome_3	Non-effector	1	0.909	N-724
FgramCML3066_01t16353	Chromosome_3	Non-effector	1	0.154	D-300
FgramCML3066_01t16355	Chromosome_3	Effector	0.806	0.252	P-50
FgramCML3066_01t16357	Chromosome_3	Effector	0.58	0.428	S-237
FgramCML3066_01t16359	Chromosome_3	Effector	0.923	0.652	K-122
FgramCML3066_01t16363	Chromosome_3	Non-effector	1	0.323	K-775
FgramCML3066_01t16365	Chromosome_3	Non-effector	1	0.72	D-528
FgramCML3066_01t16367	Chromosome_3	Effector	1	0.129	K-72
FgramCML3066_01t16381	Chromosome_3	Non-effector	0.514	0.493	S-537
FgramCML3066_01t16383	Chromosome_3	Non-effector	1	0.463	D-1047
FgramCML3066_01t16393	Chromosome_3	Non-effector	0.712	0.008	S-270
FgramCML3066_01t16397	Chromosome_3	Non-effector	1	0.522	S-385
FgramCML3066_01t16411	Chromosome_3	Effector	0.966	0.575	A-34
FgramCML3066_01t16413	Chromosome_3	Non-effector	0.991	0.323	P-261
FgramCML3066_01t16425	Chromosome_3	Non-effector	1	0.463	T-340
FgramCML3066_01t16441	Chromosome_3	Non-effector	1	0.84	S-418
FgramCML3066_01t16469	Chromosome_3	Non-effector	1	0.927	T-440
FgramCML3066_01t16473	Chromosome_3	Effector	1	0.789	D-76
FgramCML3066_01t16505	Chromosome_3	Effector	0.999	0.548	S-141
FgramCML3066_01t16515	Chromosome_3	Non-effector	1	0.129	V-518
FgramCML3066_01t16517	Chromosome_3	Non-effector	0.999	0.627	G-292
FgramCML3066_01t16529	Chromosome_3	Non-effector	1	0.001	N-552
FgramCML3066_01t16543	Chromosome_3	Non-effector	1	0.741	D-274
FgramCML3066_01t16575	Chromosome_3	Non-effector	1	0.604	C-251
FgramCML3066_01t16577	Chromosome_3	Non-effector	1	0.004	S-935
FgramCML3066_01t16591	Chromosome_3	Effector	0.861	0.493	E-237
FgramCML3066_01t16593	Chromosome_3	Non-effector	1	0.627	C-312
FgramCML3066_01t16611	Chromosome_3	Non-effector	0.999	0.575	Y-315
FgramCML3066_01t16619	Chromosome_3	Non-effector	1	0.899	S-298
FgramCML3066_01t16631	Chromosome_3	Effector	1	0.604	Q-211
FgramCML3066_01t16705	Chromosome_3	Effector	0.998	0.575	V-157
FgramCML3066_01t16747	Chromosome_3	Non-effector	0.97	0.463	E-292
FgramCML3066_01t16783	Chromosome_3	Non-effector	0.556	0.001	N-131
FgramCML3066_01t16827	Chromosome_3	Non-effector	1	0.074	F-791
FgramCML3066_01t16883	Chromosome_3	Non-effector	0.999	0.001	S-86
FgramCML3066_01t16885	Chromosome_3	Non-effector	0.993	0.789	S-279
FgramCML3066_01t16903	Chromosome_3	Non-effector	1	0.36	T-304
FgramCML3066_01t17069	Chromosome_3	Effector	1	0.879	A-109
FgramCML3066_01t17077	Chromosome_3	Non-effector	1	0.129	I-532
FgramCML3066_01t17083	Chromosome_3	Non-effector	1	0.992	V-395
FgramCML3066_01t17171	Chromosome_3	Non-effector	1	0.001	S-475
FgramCML3066_01t17355	Chromosome_3	Non-effector	1	0.522	Y-747
FgramCML3066_01t17367	Chromosome_3	Non-effector	1	0.428	D-343
FgramCML3066_01t17385	Chromosome_3	Non-effector	1	0	N-301
FgramCML3066_01t17553	Chromosome_3	Non-effector	1	0.36	H-363
FgramCML3066_01t17649	Chromosome_3	Non-effector	1	0	S-387
FgramCML3066_01t17771	Chromosome_3	Effector	0.848	0.36	E-169
FgramCML3066_01t17905	Chromosome_3	Non-effector	0.863	0.001	S-104
FgramCML3066_01t17933	Chromosome_3	Non-effector	1	0.789	P-384
FgramCML3066_01t18027	Chromosome_3	Non-effector	1	0.627	S-370
FgramCML3066_01t18051	Chromosome_3	Non-effector	1	0.003	N-187
FgramCML3066_01t18411	Chromosome_3	Non-effector	0.993	0.675	D-85
FgramCML3066_01t18455	Chromosome_3	Non-effector	1	0.463	N-529
FgramCML3066_01t18477	Chromosome_3	Non-effector	1	0	N-320
FgramCML3066_01t18661	Chromosome_3	Non-effector	0.978	0	N-181
FgramCML3066_01t18679	Chromosome_3	Non-effector	1	0.323	W-1127
FgramCML3066_01t18781	Chromosome_3	Non-effector	0.992	0.323	D-248
FgramCML3066_01t18793	Chromosome_3	Non-effector	1	0.428	N-885
FgramCML3066_01t18811	Chromosome_3	Non-effector	0.541	0.575	Y-218
FgramCML3066_01t18845	Chromosome_3	Non-effector	1	0.036	E-1616
FgramCML3066_01t18869	Chromosome_3	Non-effector	1	0.919	N-546
FgramCML3066_01t18881	Chromosome_3	Non-effector	1	0.001	D-259
FgramCML3066_01t18955	Chromosome_3	Non-effector	1	0.323	R-370
FgramCML3066_01t18961	Chromosome_3	Non-effector	1	0.001	S-228
FgramCML3066_01t18977	Chromosome_3	Effector	1	0.288	L-85
FgramCML3066_01t18989	Chromosome_3	Non-effector	0.995	0.001	N-179
FgramCML3066_01t18991	Chromosome_3	Non-effector	1	0.493	R-431
FgramCML3066_01t18999	Chromosome_3	Non-effector	1	0.129	Q-226
FgramCML3066_01t19079	Chromosome_3	Non-effector	0.998	0.018	S-120
FgramCML3066_01t19131	Chromosome_3	Non-effector	0.998	0.009	K-329
FgramCML3066_01t19187	Chromosome_3	Non-effector	0.976	0.021	A-277
FgramCML3066_01t19221	Chromosome_3	Non-effector	1	0.182	D-296
FgramCML3066_01t19273	Chromosome_3	Non-effector	1	0.575	D-363
FgramCML3066_01t19301	Chromosome_3	Non-effector	1	0.036	S-509
FgramCML3066_01t19315	Chromosome_3	Non-effector	1	0.182	S-1090
FgramCML3066_01t19367	Chromosome_3	Non-effector	1	0.004	G-51
FgramCML3066_01t19381	Chromosome_3	Non-effector	0.968	0.84	D-213
FgramCML3066_01t19395	Chromosome_3	Non-effector	1	0.001	T-265
FgramCML3066_01t19421	Chromosome_3	Non-effector	1	0.216	S-487
FgramCML3066_01t19511	Chromosome_3	Non-effector	1	0	S-262
FgramCML3066_01t19539	Chromosome_3	Non-effector	1	0.394	D-384
FgramCML3066_01t19593	Chromosome_3	Non-effector	0.958	0.698	E-252
FgramCML3066_01t19607	Chromosome_3	Non-effector	1	0.968	N-648
FgramCML3066_01t19797	Chromosome_3	Non-effector	1	0.154	S-342
FgramCML3066_01t19847	Chromosome_3	Non-effector	1	0.652	C-477
FgramCML3066_01t19897	Chromosome_3	Effector	0.978	0.001	V-188
FgramCML3066_01t19917	Chromosome_3	Non-effector	1	0.428	W-1440
FgramCML3066_01t20139	Chromosome_3	Non-effector	1	0.789	S-761
FgramCML3066_01t20289	Chromosome_3	Non-effector	0.981	0.091	S-284
FgramCML3066_01t20299	Chromosome_3	Non-effector	0.995	0.773	Q-310
FgramCML3066_01t20403	Chromosome_3	Non-effector	1	0.942	S-405
FgramCML3066_01t20445	Chromosome_3	Non-effector	1	0.001	D-551
FgramCML3066_01t20475	Chromosome_3	Non-effector	1	0	N-487
FgramCML3066_01t20513	Chromosome_3	Non-effector	1	0	T-207
FgramCML3066_01t20523	Chromosome_3	Effector	0.816	0.72	Y-206
FgramCML3066_01t20535	Chromosome_3	Non-effector	1	0.627	L-371
FgramCML3066_01t20885	Chromosome_3	Non-effector	0.991	0.548	S-272
FgramCML3066_01t20887	Chromosome_3	Effector	1	0.06	V-67
FgramCML3066_01t20935	Chromosome_3	Non-effector	1	0.548	D-1233
FgramCML3066_01t20997	Chromosome_3	Non-effector	1	0.288	V-346
FgramCML3066_01t21019	Chromosome_3	Non-effector	1	0.012	R-747
FgramCML3066_01t21025	Chromosome_3	Non-effector	1	0.05	D-355
FgramCML3066_01t21027	Chromosome_3	Non-effector	1	0.575	G-574
FgramCML3066_01t21055	Chromosome_3	Non-effector	1	0.182	E-470
FgramCML3066_01t21057	Chromosome_3	Effector	0.882	0.789	S-200
FgramCML3066_01t21059	Chromosome_3	Non-effector	1	0.001	Q-182
FgramCML3066_01t21073	Chromosome_3	Non-effector	1	0.824	N-713
FgramCML3066_01t21077	Chromosome_3	Non-effector	0.998	0.789	D-263
FgramCML3066_01t21081	Chromosome_3	Non-effector	1	0.741	T-620
FgramCML3066_01t21089	Chromosome_3	Non-effector	0.999	0.522	N-339
FgramCML3066_01t21149	Chromosome_3	Non-effector	1	0.216	S-649
FgramCML3066_01t21151	Chromosome_3	Effector	0.791	0.899	H-79
FgramCML3066_01t21155	Chromosome_3	Non-effector	1	0.394	I-373
FgramCML3066_01t21157	Chromosome_3	Non-effector	1	0.652	S-749
FgramCML3066_01t21159	Chromosome_3	Effector	0.792	0.288	F-256
FgramCML3066_01t21163	Chromosome_3	Non-effector	0.739	0.789	Q-215
FgramCML3066_01t21183	Chromosome_3	Non-effector	0.839	0.522	V-207
FgramCML3066_01t21185	Chromosome_3	Effector	1	0.074	G-87
FgramCML3066_01t21187	Chromosome_3	Non-effector	1	0.011	N-321
FgramCML3066_01t21189	Chromosome_3	Non-effector	0.994	0.855	A-285
FgramCML3066_01t21195	Chromosome_3	Effector	0.545	0.604	S-198
FgramCML3066_01t21233	Chromosome_3	Non-effector	1	0.824	W-426
FgramCML3066_01t21247	Chromosome_3	Non-effector	1	0.323	S-260
FgramCML3066_01t21259	Chromosome_3	Effector	0.997	0.627	S-178
FgramCML3066_01t21261	Chromosome_3	Non-effector	0.997	0.72	L-294
FgramCML3066_01t21297	Chromosome_3	Non-effector	0.999	0.824	V-314
FgramCML3066_01t21301	Chromosome_3	Non-effector	1	0.018	S-873
FgramCML3066_01t21309	Chromosome_3	Non-effector	1	0.009	S-483
FgramCML3066_01t21319	Chromosome_3	Non-effector	0.999	0.652	M-292
FgramCML3066_01t21333	Chromosome_3	Non-effector	1	0.323	N-326
FgramCML3066_01t21371	Chromosome_3	Non-effector	1	0.004	S-697
FgramCML3066_01t21373	Chromosome_3	Non-effector	1	0.698	S-297
FgramCML3066_01t21379	Chromosome_3	Non-effector	1	0.012	D-391
FgramCML3066_01t21393	Chromosome_3	Non-effector	1	0.879	N-637
FgramCML3066_01t21395	Chromosome_3	Effector	1	0.522	N-85
FgramCML3066_01t21431	Chromosome_3	Non-effector	1	0.036	N-331
FgramCML3066_01t21441	Chromosome_3	Effector	0.975	0.807	P-51
FgramCML3066_01t21447	Chromosome_3	Non-effector	0.977	0.84	P-297
FgramCML3066_01t21451	Chromosome_3	Non-effector	0.999	0.074	D-227
FgramCML3066_01t21457	Chromosome_3	Non-effector	1	0.463	Y-379
FgramCML3066_01t21463	Chromosome_3	Non-effector	1	0.84	G-492
FgramCML3066_01t21467	Chromosome_3	Non-effector	1	0.018	V-812
FgramCML3066_01t21501	Chromosome_3	Non-effector	1	0.323	S-398
FgramCML3066_01t21513	Chromosome_3	Non-effector	0.543	0.84	A-112
FgramCML3066_01t21521	Chromosome_3	Non-effector	1	0.394	Y-539
FgramCML3066_01t21541	Chromosome_3	Non-effector	1	0.009	C-339
FgramCML3066_01t21547	Chromosome_3	Non-effector	0.999	0.394	K-312
FgramCML3066_01t21549	Chromosome_3	Non-effector	0.744	0.675	N-116
FgramCML3066_01t21551	Chromosome_3	Non-effector	1	0.627	E-454
FgramCML3066_01t21557	Chromosome_3	Non-effector	1	0.72	E-715
FgramCML3066_01t21563	Chromosome_3	Non-effector	1	0.627	S-743
FgramCML3066_01t21611	Chromosome_3	Effector	0.997	0.428	Y-89
FgramCML3066_01t21615	Chromosome_3	Non-effector	1	0.756	L-444
FgramCML3066_01t21617	Chromosome_3	Non-effector	1	0.575	I-634
FgramCML3066_01t21621	Chromosome_3	Effector	0.669	0.627	K-220
FgramCML3066_01t21625	Chromosome_3	Non-effector	1	0.954	N-350
FgramCML3066_01t21627	Chromosome_3	Non-effector	1	0.011	N-452
FgramCML3066_01t21641	Chromosome_3	Non-effector	1	0.005	Q-575
FgramCML3066_01t21685	Chromosome_3	Non-effector	1	0.89	S-390
FgramCML3066_01t21695	Chromosome_3	Non-effector	1	0.675	L-589
FgramCML3066_01t21703	Chromosome_3	Non-effector	1	0.463	D-351
FgramCML3066_01t21745	Chromosome_3	Non-effector	1	0.252	V-611
FgramCML3066_01t21753	Chromosome_3	Non-effector	0.561	0.154	Y-226
FgramCML3066_01t21793	Chromosome_3	Non-effector	1	0.36	S-355
FgramCML3066_01t21809	Chromosome_3	Non-effector	1	0.604	D-350
FgramCML3066_01t21821	Chromosome_3	Non-effector	1	0.004	K-115
FgramCML3066_01t21831	Chromosome_3	Non-effector	1	0	S-746
FgramCML3066_01t21833	Chromosome_3	Non-effector	1	0.129	N-677
FgramCML3066_01t21835	Chromosome_3	Non-effector	1	0.394	E-403
FgramCML3066_01t21841	Chromosome_3	Effector	0.934	0.323	G-133
FgramCML3066_01t21857	Chromosome_3	Non-effector	1	0.773	N-562
FgramCML3066_01t21875	Chromosome_3	Non-effector	1	0.698	L-324
FgramCML3066_01t21915	Chromosome_3	Non-effector	1	0.604	E-372
FgramCML3066_01t21921	Chromosome_3	Non-effector	1	0.773	G-361
FgramCML3066_01t21939	Chromosome_3	Non-effector	1	0.675	L-513
FgramCML3066_01t21943	Chromosome_3	Non-effector	0.882	0.463	Y-242
FgramCML3066_01t21945	Chromosome_3	Non-effector	1	0.756	C-314
FgramCML3066_01t21961	Chromosome_3	Non-effector	1	0.807	I-427
FgramCML3066_01t21981	Chromosome_3	Non-effector	1	0.909	T-433
FgramCML3066_01t21993	Chromosome_3	Effector	1	0.756	N-115
FgramCML3066_01t22007	Chromosome_3	Non-effector	1	0.756	S-434
FgramCML3066_01t22015	Chromosome_3	Non-effector	1	0.698	Y-494
FgramCML3066_01t22025	Chromosome_3	Non-effector	1	0.428	P-519
FgramCML3066_01t22053	Chromosome_3	Non-effector	1	0.575	L-486
FgramCML3066_01t22103	Chromosome_3	Non-effector	0.952	0.548	P-133
FgramCML3066_01t22119	Chromosome_3	Non-effector	0.667	0.855	C-150
FgramCML3066_01t22127	Chromosome_3	Non-effector	0.995	0.288	S-275
FgramCML3066_01t22133	Chromosome_3	Non-effector	1	0.741	F-391
FgramCML3066_01t22183	Chromosome_3	Non-effector	1	0.323	N-364
FgramCML3066_01t22221	Chromosome_3	Non-effector	1	0	P-302
FgramCML3066_01t22227	Chromosome_3	Non-effector	1	0.011	D-317
FgramCML3066_01t22235	Chromosome_3	Non-effector	1	0.074	G-854
FgramCML3066_01t22275	Chromosome_3	Non-effector	0.988	0.927	D-296
FgramCML3066_01t22279	Chromosome_3	Non-effector	0.985	0.675	D-298
FgramCML3066_01t22283	Chromosome_3	Non-effector	1	0.288	P-373
FgramCML3066_01t22289	Chromosome_3	Effector	0.585	0.789	T-209
FgramCML3066_01t22295	Chromosome_3	Non-effector	0.916	0.216	T-247
FgramCML3066_01t22301	Chromosome_3	Non-effector	0.74	0.216	S-208
FgramCML3066_01t22333	Chromosome_3	Non-effector	0.998	0.216	V-299
FgramCML3066_01t22339	Chromosome_3	Non-effector	0.992	0.698	Y-300
FgramCML3066_01t22357	Chromosome_4	Non-effector	1	0.109	Y-1527
FgramCML3066_01t22359	Chromosome_4	Non-effector	0.963	0.001	N-215
FgramCML3066_01t22361	Chromosome_4	Non-effector	1	0.009	S-490
FgramCML3066_01t22377	Chromosome_4	Non-effector	1	0.652	W-511
FgramCML3066_01t22379	Chromosome_4	Non-effector	1	0.964	D-527
FgramCML3066_01t22389	Chromosome_4	Non-effector	1	0.575	L-337
FgramCML3066_01t22405	Chromosome_4	Non-effector	1	0.627	V-440
FgramCML3066_01t22407	Chromosome_4	Non-effector	1	0.018	D-516
FgramCML3066_01t22409	Chromosome_4	Non-effector	0.876	0.652	L-235
FgramCML3066_01t22433	Chromosome_4	Non-effector	1	0.548	G-636
FgramCML3066_01t22437	Chromosome_4	Non-effector	1	0.773	D-325
FgramCML3066_01t22439	Chromosome_4	Non-effector	0.661	0.009	S-216
FgramCML3066_01t22447	Chromosome_4	Non-effector	1	0.522	S-459
FgramCML3066_01t22477	Chromosome_4	Non-effector	1	0	S-740
